page,path,title,title_len,description,desc_len,keywords,has_keywords,title_status,desc_status
xref-main.html,..\aerohockey\build\main\xref-main.html,"modulegraph cross reference for main.py, pyi_rth_inspect.py, pyi_rth_multiprocessing.py, pyi_rth_pkgres.py, pyi_rth_pkgutil.py",126,,0,,False,OK,TOO_SHORT
index.html,..\base_test\.venv\Lib\site-packages\coverage\htmlfiles\index.html,{{ title|escape }},18,,0,,False,TOO_SHORT,TOO_SHORT
pyfile.html,..\base_test\.venv\Lib\site-packages\coverage\htmlfiles\pyfile.html,Coverage for {{relative_filename|escape}}: {{nums.pc_covered_str}}%,67,,0,,False,OK,TOO_SHORT
class_index.html,..\base_test\coverage_report\class_index.html,Coverage report,15,,0,,False,TOO_SHORT,TOO_SHORT
function_index.html,..\base_test\coverage_report\function_index.html,Coverage report,15,,0,,False,TOO_SHORT,TOO_SHORT
index.html,..\base_test\coverage_report\index.html,Coverage report,15,,0,,False,TOO_SHORT,TOO_SHORT
z_145eef247bfb46b6_count_ones_in_segment_py.html,..\base_test\coverage_report\z_145eef247bfb46b6_count_ones_in_segment_py.html,Coverage for src\count_ones_in_segment.py: 100%,47,,0,,False,TOO_SHORT,TOO_SHORT
z_145eef247bfb46b6___init___py.html,..\base_test\coverage_report\z_145eef247bfb46b6___init___py.html,Coverage for src\__init__.py: 100%,34,,0,,False,TOO_SHORT,TOO_SHORT
xref-main.html,..\cad2sim_global\build\main\xref-main.html,"modulegraph cross reference for main.py, pyi_rth__tkinter.py, pyi_rth_inspect.py, pyi_rth_mplconfig.py, pyi_rth_multiprocessing.py, pyi_rth_pkgres.py, pyi_rth_pkgutil.py, pyi_rth_pyqt5.py, pyi_rth_pythoncom.py, pyi_rth_pywintypes.py, pyi_rth_setuptools.py, pyi_rth_traitlets.py, pyi_rth_win32comgenpy.py",303,,0,,False,TOO_LONG,TOO_SHORT
xref-main.html,..\cad2sim_global_maze\build\main\xref-main.html,"modulegraph cross reference for main.py, pyi_rth__tkinter.py, pyi_rth_inspect.py, pyi_rth_mplconfig.py, pyi_rth_multiprocessing.py, pyi_rth_pkgres.py, pyi_rth_pkgutil.py, pyi_rth_pyqt5.py, pyi_rth_pythoncom.py, pyi_rth_pywintypes.py, pyi_rth_setuptools.py, pyi_rth_traitlets.py, pyi_rth_win32comgenpy.py",303,,0,,False,TOO_LONG,TOO_SHORT
xref-main.html,..\col_parametrs\build\main\xref-main.html,"modulegraph cross reference for main.py, pyi_rth_inspect.py, pyi_rth_multiprocessing.py, pyi_rth_pkgres.py, pyi_rth_pkgutil.py",126,,0,,False,OK,TOO_SHORT
xref-main.html,..\compare\build\main\xref-main.html,"modulegraph cross reference for main.py, pyi_rth_inspect.py",59,,0,,False,OK,TOO_SHORT
skeleton.html,..\GOSTy_AI\.venv\Lib\site-packages\torch\utils\model_dump\skeleton.html,TorchScript Model,17,,0,,False,TOO_SHORT,TOO_SHORT
